기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	구로구	수궁동	9,087	2,086	2,881	2,188	1,463	362	85	22
2020	구로구	가리봉동	4,901	2,849	1,168	518	275	70	15	6
2020	구로구	구로2동	11,189	4,383	3,239	2,021	1,134	318	75	19
2020	구로구	개봉1동	13,401	3,591	4,018	3,040	2,106	521	99	26
2020	구로구	오류2동	14,360	3,258	4,256	3,141	2,767	770	136	32
2020	구로구	항동	5,988	1,358	1,406	1,604	1,288	281	41	10
2020	금천구	소계	103,432	42,334	26,331	18,226	12,863	2,913	592	173
2020	금천구	가산동	14,124	9,775	2,339	1,133	684	156	30	7
2020	금천구	독산1동	19,691	8,983	4,434	3,212	2,431	513	82	36
2020	금천구	독산2동	8,408	3,209	2,287	1,595	1,024	228	52	13
2020	금천구	독산3동	11,071	4,413	3,038	2,024	1,241	271	62	22
2020	금천구	독산4동	6,858	2,608	1,868	1,270	854	202	44	12
2020	금천구	시흥1동	14,439	5,285	3,873	2,758	1,987	431	78	27
2020	금천구	시흥2동	7,825	1,592	2,272	1,872	1,586	386	100	17
2020	금천구	시흥3동	4,372	1,142	1,372	978	684	167	25	X
2020	금천구	시흥4동	8,304	2,417	2,427	1,782	1,297	294	67	20
2020	금천구	시흥5동	8,340	2,910	2,421	1,602	1,075	265	52	15
2020	영등포구	소계	162,391	64,000	40,926	30,371	21,651	4,321	916	206
2020	영등포구	여의동	11,936	2,672	3,355	3,038	2,293	451	102	25
2020	영등포구	당산1동	9,508	4,125	2,441	1,660	1,001	214	57	10
2020	영등포구	당산2동	16,748	7,461	3,698	2,913	2,181	387	88	20
2020	영등포구	양평1동	8,237	3,721	2,154	1,336	816	162	39	9
2020	영등포구	양평2동	9,434	3,391	2,423	1,889	1,415	263	45	8
2020	영등포구	신길1동	9,096	4,995	2,004	1,164	715	172	35	11
2020	영등포구	신길3동	6,861	2,205	1,825	1,484	1,076	228	36	7
2020	영등포구	신길4동	4,267	1,475	1,187	863	594	124	20	X
2020	영등포구	신길5동	4,422	1,386	1,227	950	677	149	28	5
2020	영등포구	신길6동	7,618	2,980	1,967	1,480	938	197	40	16
2020	영등포구	신길7동	7,222	1,599	1,843	1,797	1,615	302	60	6
2020	영등포구	대림1동	6,331	2,269	1,760	1,217	869	169	39	8
2020	영등포구	대림2동	6,066	2,783	1,658	941	527	109	36	12
2020	영등포구	대림3동	9,510	2,970	2,771	2,030	1,359	288	78	14
